Timestamp,Date,Distance,k,Ax,Ay,Az,Xx,Xy,Xz,TRx,TRy,TRz,BRx,BRy,BRz,Bx,By,Bz,Cx,Cy,Cz,Ux,Uy,Uz,Vx,Vy,Vz,Wx,Wy,Wz,L_Roll,L_Tilt,R_Roll,R_Tilt
1775395519.223,2026-04-05 18:55:19,18.833,0.476,-64.601,68.062,361.007,-46.405,66.808,365.7,-66.645,41.247,361.616,-62.556,94.878,360.398,-48.352,41.271,366.479,-44.262,94.891,364.842,16.248,-26.791,5.472,0.994,-0.074,0.075,4.09,53.619,-1.637,-4.262,175.509,85.638,175.871
1775395519.753,2026-04-05 18:55:19,19.05,0.485,-64.534,38.324,349.143,-47.259,36.59,356.983,-66.888,11.591,348.332,-62.18,65.057,349.955,-49.311,10.645,356.349,-45.078,64.167,357.658,15.223,-27.679,7.206,0.996,-0.089,0.002,4.233,53.522,1.309,-5.101,175.23,85.477,165.895
1775395520.286,2026-04-05 18:55:20,19.182,0.492,-72.811,-39.187,367.429,-55.048,-38.932,374.666,-72.129,-66.064,367.067,-73.492,-12.31,367.791,-54.252,-65.355,373.748,-55.871,-11.627,375.614,18.559,-26.168,6.319,0.99,0.024,0.136,-1.619,53.727,1.866,1.364,171.978,91.726,171.591
1775395520.82,2026-04-05 18:55:20,18.698,0.489,-76.35,-34.339,378.738,-58.221,-34.943,383.275,-77.151,-61.211,378.393,-75.55,-7.466,379.084,-58.919,-61.205,382.92,-57.493,-7.496,383.647,17.431,-26.866,4.181,0.997,-0.031,0.072,1.426,53.709,0.727,-1.769,175.699,88.478,173.616
1775395521.338,2026-04-05 18:55:21,18.734,0.48,-78.561,-27.249,374.641,-60.55,-27.886,379.756,-79.298,-54.128,374.249,-77.824,-0.37,375.034,-61.117,-53.648,378.837,-59.935,0.077,380.754,17.444,-26.399,4.195,0.994,-0.029,0.107,1.182,53.726,1.917,-1.661,173.693,88.74,174.854
1775395521.852,2026-04-05 18:55:21,18.687,0.483,-75.969,-15.063,370.606,-57.566,-15.307,373.838,-76.165,-41.936,369.718,-75.774,11.81,371.494,-57.653,-41.272,372.786,-57.472,12.478,374.964,18.316,-26.209,2.18,0.995,-0.01,0.104,0.181,53.751,2.178,-0.593,173.506,89.807,171.125
1775395522.353,2026-04-05 18:55:22,685.296,5.462,-85.365,1.884,381.182,-215.311,57.997,1051.7,-85.575,-25.011,380.782,-85.155,28.779,381.581,-216.513,-230.093,1075.224,-216.293,-177.347,1070.917,-131.148,-231.977,694.042,0.995,-0.009,0.101,0.22,52.746,-4.307,-0.528,174.089,89.757,160.602
1775395522.886,2026-04-05 18:55:22,18.769,0.476,-76.783,15.576,393.387,-58.553,14.566,397.736,-77.831,-11.287,392.536,-75.736,42.439,394.239,-59.432,-10.919,395.741,-57.583,42.672,399.935,17.351,-26.495,2.354,0.998,-0.041,0.056,1.849,53.592,4.194,-2.355,176.071,88.023,174.995
1775395523.418,2026-04-05 18:55:23,19.525,0.474,-45.999,35.024,399.972,-28.015,34.056,407.513,-47.172,8.179,398.8,-44.826,61.868,401.144,-29.027,8.579,406.921,-26.894,62.296,408.17,16.972,-26.445,6.949,0.999,-0.044,0.014,2.133,53.718,1.248,-2.54,177.107,87.726,177.395
1775395523.952,2026-04-05 18:55:23,896.489,-4.231,-223.65,-215.414,1268.045,-36.13,-204.803,391.452,-224.379,-241.636,1270.416,-222.921,-189.193,1265.674,-28.543,22.524,400.014,-26.75,76.246,402.037,195.108,237.938,-868.031,0.938,0.099,0.331,1.793,53.723,2.023,20.861,155.36,65.559,176.78
1775395524.485,2026-04-05 18:55:24,18.744,0.488,-29.239,47.956,405.487,-10.941,47.17,409.476,-30.229,21.137,403.723,-28.249,74.775,407.252,-12.016,20.976,409.261,-9.811,74.7,409.702,17.223,-26.98,3.773,0.997,-0.042,0.066,2.204,53.724,0.442,-2.39,174.636,87.65,176.723
1775395525.019,2026-04-05 18:55:25,2223.672,-20.954,-499.347,-584.955,2486.791,-107.467,-1101.676,359.787,-499.964,-610.183,2493.708,-498.73,-559.726,2479.875,-57.501,23.222,405.134,-55.116,76.907,407.298,441.846,608.176,-2081.658,0.584,0.329,0.742,2.385,53.685,2.164,52.615,126.721,33.378,176.181
1775395525.519,2026-04-05 18:55:25,18.619,0.479,-34.356,71.408,398.787,-15.966,70.642,401.595,-35.268,44.564,398.783,-33.444,98.251,398.79,-16.565,44.936,400.784,-15.314,98.634,402.479,17.791,-26.471,1.997,0.999,-0.037,0.005,1.252,53.698,1.695,-2.12,175.926,88.666,173.957
